file,line,col,value,context,severity,module
qtrader/meta/self_evolution.py,27,31,0.2,magic_number,LOW,meta
qtrader/meta/self_evolution.py,90,38,0.1,magic_number,LOW,meta
qtrader/meta/constraint_engine.py,20,30,0.4,magic_number,LOW,meta
qtrader/meta/constraint_engine.py,21,25,0.2,magic_number,LOW,meta
qtrader/meta/constraint_engine.py,22,30,5.0,magic_number,LOW,meta
qtrader/meta/constraint_engine.py,23,30,10.0,magic_number,LOW,meta
qtrader/meta/constraint_engine.py,24,30,20,magic_number,LOW,meta
qtrader/meta/constraint_engine.py,25,34,0.05,magic_number,LOW,meta
qtrader/models/catboost_model.py,14,26,1000,magic_number,LOW,models
qtrader/models/catboost_model.py,15,29,0.05,magic_number,LOW,models
qtrader/models/catboost_model.py,16,21,6,magic_number,LOW,models
qtrader/models/xgboost_model.py,14,28,1000,magic_number,LOW,models
qtrader/models/xgboost_model.py,15,29,0.05,magic_number,LOW,models
qtrader/models/xgboost_model.py,16,25,6,magic_number,LOW,models
qtrader/models/xgboost_model.py,19,28,42,magic_number,LOW,models
qtrader/compliance/spoof_detector.py,38,33,0.9,magic_number,LOW,compliance
qtrader/compliance/spoof_detector.py,39,31,0.05,magic_number,LOW,compliance
qtrader/compliance/spoof_detector.py,40,26,10,magic_number,LOW,compliance
qtrader/compliance/spoof_detector.py,82,22,100,magic_number,LOW,compliance
qtrader/compliance/spoof_detector.py,87,28,0.2,magic_number,LOW,compliance
qtrader/compliance/spoof_detector.py,117,54,10.0,magic_number,LOW,compliance
qtrader/compliance/spoof_detector.py,122,63,0.5,magic_number,LOW,compliance
qtrader/compliance/surveillance_engine.py,47,47,100.0,magic_number,LOW,compliance
qtrader/compliance/surveillance_engine.py,54,61,1000.0,magic_number,LOW,compliance
qtrader/compliance/surveillance_engine.py,104,80,1000,magic_number,LOW,compliance
qtrader/compliance/surveillance_engine.py,104,86,2,magic_number,LOW,compliance
qtrader/compliance/surveillance_engine.py,123,51,0.2,magic_number,LOW,compliance
qtrader/compliance/surveillance_engine.py,135,78,1000,magic_number,LOW,compliance
qtrader/compliance/surveillance_engine.py,135,84,2,magic_number,LOW,compliance
qtrader/compliance/risk_disclosure.py,54,78,12,magic_number,HIGH,compliance
qtrader/compliance/risk_disclosure.py,59,17,2.326,magic_number,HIGH,compliance
qtrader/compliance/risk_disclosure.py,71,66,252,magic_number,HIGH,compliance
qtrader/compliance/risk_disclosure.py,79,55,6,magic_number,HIGH,compliance
qtrader/compliance/risk_disclosure.py,80,93,6,magic_number,HIGH,compliance
qtrader/compliance/risk_disclosure.py,81,64,6,magic_number,HIGH,compliance
qtrader/compliance/risk_disclosure.py,85,61,1000,magic_number,HIGH,compliance
qtrader/compliance/risk_disclosure.py,85,67,2,magic_number,HIGH,compliance
qtrader/feedback/incident_handler.py,46,35,0.6,magic_number,LOW,feedback
qtrader/feedback/incident_handler.py,60,32,0.5,magic_number,LOW,feedback
qtrader/feedback/incident_handler.py,60,45,0.3,magic_number,LOW,feedback
qtrader/feedback/incident_handler.py,60,57,0.2,magic_number,LOW,feedback
qtrader/feedback/incident_handler.py,64,21,10.0,magic_number,LOW,feedback
qtrader/feedback/incident_handler.py,72,25,0.9,magic_number,LOW,feedback
qtrader/feedback/incident_handler.py,73,26,0.8,magic_number,LOW,feedback
qtrader/feedback/incident_handler.py,74,27,0.6,magic_number,LOW,feedback
qtrader/feedback/incident_handler.py,89,55,1000,magic_number,LOW,feedback
qtrader/feedback/incident_handler.py,104,64,4,magic_number,LOW,feedback
qtrader/feedback/incident_handler.py,113,58,4,magic_number,LOW,feedback
qtrader/feedback/incident_handler.py,128,80,4,magic_number,LOW,feedback
qtrader/feedback/dashboard.py,66,27,0.8,magic_number,LOW,feedback
qtrader/feedback/dashboard.py,67,25,0.5,magic_number,LOW,feedback
qtrader/feedback/dashboard.py,68,29,0.1,magic_number,LOW,feedback
qtrader/feedback/dashboard.py,91,39,4,magic_number,LOW,feedback
qtrader/feedback/dashboard.py,92,42,4,magic_number,LOW,feedback
qtrader/feedback/dashboard.py,93,52,4,magic_number,LOW,feedback
qtrader/feedback/dashboard.py,94,55,4,magic_number,LOW,feedback
qtrader/feedback/dashboard.py,97,46,4,magic_number,LOW,feedback
qtrader/feedback/dashboard.py,98,77,4,magic_number,LOW,feedback
qtrader/feedback/dashboard.py,106,76,1000,magic_number,LOW,feedback
qtrader/feedback/dashboard.py,106,82,4,magic_number,LOW,feedback
qtrader/feedback/dashboard.py,107,69,4,magic_number,LOW,feedback
qtrader/backtest/broker_sim.py,42,29,0.001,magic_number,LOW,backtest
qtrader/backtest/broker_sim.py,44,26,5.0,magic_number,LOW,backtest
qtrader/backtest/broker_sim.py,100,52,4.0,magic_number,LOW,backtest
qtrader/backtest/broker_sim.py,106,34,2.0,magic_number,LOW,backtest
