file,line,col,category,source,severity,is_silent
qtrader/ml/hmm_regime.py,14,0,SILENT_FAILURE,"Name(id='ImportError', ctx=Load())",MEDIUM,True
qtrader/execution/multi_exchange_adapter.py,50,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,50,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,56,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,56,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,82,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,82,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,126,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,126,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,147,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,147,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,163,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,163,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,179,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,179,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,195,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/multi_exchange_adapter.py,195,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/slippage_model.py,99,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,False
qtrader/execution/objective.py,84,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,False
qtrader/execution/reconciliation_service.py,120,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/reconciliation_service.py,120,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/execution/reconciliation_service.py,134,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,False
qtrader/execution/reconciliation_service.py,161,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,False
qtrader/execution/reconciliation_service.py,220,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,False
qtrader/execution/execution_engine.py,173,24,ASYNC_FAILURE,unawaited_task,MEDIUM,True
qtrader/execution/execution_engine.py,188,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,False
